signal,symbole,horizon_h,IC,t_stat,n_eff
oi_deleveraging,SOL-USDT-SWAP,4,0.014914717234987863,1.2254826791830218,6751
oi_deleveraging,SOL-USDT-SWAP,24,0.006523304204417067,0.21863673878363224,1125
oi_deleveraging,SOL-USDT-SWAP,72,0.014908676493781034,0.2880039002836306,375
oi_deleveraging,SOL-USDT-SWAP,168,0.004418914281734641,0.055678153791024955,160
oi_price_divergence,SOL-USDT-SWAP,4,-0.018322594491225773,-1.5045197216709014,6742
oi_price_divergence,SOL-USDT-SWAP,24,-0.025296441989036227,-0.8474974753520425,1123
oi_price_divergence,SOL-USDT-SWAP,72,-0.006371308203657232,-0.12298185687695655,374
oi_price_divergence,SOL-USDT-SWAP,168,0.01692206236615718,0.21309383499530438,160
taker_flow,SOL-USDT-SWAP,4,0.0044758894300116845,0.3480092860688177,6047
taker_flow,SOL-USDT-SWAP,24,0.0077837244254638106,0.24687244343642237,1007
taker_flow,SOL-USDT-SWAP,72,0.02384832586199412,0.4359408591397893,335
taker_flow,SOL-USDT-SWAP,168,0.018021664892093333,0.21477429873898807,143
taker_flow_contrarian,SOL-USDT-SWAP,4,-0.0044758894300116845,-0.3480092860688177,6047
taker_flow_contrarian,SOL-USDT-SWAP,24,-0.0077837244254638106,-0.24687244343642237,1007
taker_flow_contrarian,SOL-USDT-SWAP,72,-0.02384832586199412,-0.4359408591397893,335
taker_flow_contrarian,SOL-USDT-SWAP,168,-0.018021664892093333,-0.21477429873898807,143
account_positioning_contrarian,SOL-USDT-SWAP,4,0.018452595753973525,1.5066315540817572,6666
account_positioning_contrarian,SOL-USDT-SWAP,24,0.05812675322576481,1.9390317423690622,1111
account_positioning_contrarian,SOL-USDT-SWAP,72,0.06482519549267052,1.246771816958287,370
account_positioning_contrarian,SOL-USDT-SWAP,168,0.05711292934861433,0.7161540375155996,158
funding_contrarian,SOL-USDT-SWAP,4,0.00614923728974193,0.5671424467569497,8508
funding_contrarian,SOL-USDT-SWAP,24,-0.007315484522933509,-0.2752874061475257,1418
funding_contrarian,SOL-USDT-SWAP,72,0.010274132413388794,0.22290756226691574,472
funding_contrarian,SOL-USDT-SWAP,168,-0.02711349317835641,-0.3841313037268128,202
