universe,n_symbols,lookback_hours,sharpe,monthly_median,max_drawdown,n_trades,corr_with_brick1
base,3,72,-1.5730324735799717,0.0,-0.4019633098813489,683,0.12922742867242537
base,3,168,-1.8073344296427893,0.0,-0.40082306783156973,438,0.08743757506792026
base,3,336,-1.7631336748185118,0.0,-0.4009189200635266,308,0.10293653473110628
extended,10,72,-1.536562195465939,-0.00020741426660886297,-0.40045376004480493,1659,0.1576344928356377
extended,10,168,-1.5628348468839577,-0.0022231886290531855,-0.4005181274680366,1459,0.1415803249549538
extended,10,336,-1.7533933082720747,-0.0027669195429445015,-0.4020588242093146,1049,0.1307864173679515
