config,fenetre,sharpe,annuel,mensuel,dd,trades,pf,couts
brique 4 seule,IS,0.5494243061384941,0.06403107237801553,0.0,-0.06764204752151426,183,1.698000188667796,0.10135905899811455
brique 4 seule,OOS,0.10283425468553677,0.007566006301558126,0.0,-0.03466972274067337,55,1.1022330127570348,0.4480308787241035
brique 1 seule,IS,0.25727279774395967,0.03507357910250963,-0.0018362760072830886,-0.10966452366839663,222,1.3123051628320235,0.2360161571644442
brique 1 seule,OOS,0.3141814960528809,0.03550125033105611,0.001483054058022626,-0.0631659734302199,66,1.4436996305818752,0.13385140906218182
briques 1+4,IS,0.41985631590636735,0.059295188086226025,0.0,-0.11104569642406648,236,1.4716278444247166,0.14704176423519208
briques 1+4,OOS,-0.0991888339078729,-0.009689690866137135,-0.002857412549640781,-0.07760761241547431,60,0.884009302508654,0.9956764313264703
portefeuille 4 briques,IS,0.4982998881820338,0.09250138438244049,0.0032771928148729312,-0.10415902608457217,428,1.3738487421877363,0.15880433300808658
portefeuille 4 briques,OOS,0.008660729920026283,-0.0019960029533846457,0.0035329406015780496,-0.13939922271979277,149,0.9701706566992327,2.0704076051321456
