vol_cible,expo_effective,fenetre,sharpe,annuel,mensuel,dd,levier_brut_moyen,levier_brut_max,trades,liq,tue
0.003,0.03,IS,-0.14092908031467247,-0.0006951525187927077,0.0,-0.008271295674315726,9.858706934514877e-05,0.1614957168890084,2,0,False
0.003,0.03,OOS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False
0.005,0.05,IS,0.21279910612669153,0.009783092144459715,0.0,-0.04576671295249912,0.011047460691560195,0.4702677659552316,35,0,False
0.005,0.05,OOS,0.23035686268919173,0.005294343690740888,0.0,-0.016362539186745573,0.0027912731522907034,0.19967449126047926,3,0,False
0.0075,0.075,IS,0.21841777924983247,0.01934170208656716,0.0,-0.09065002658731602,0.028927733327583215,0.7069325072609696,101,0,False
0.0075,0.075,OOS,0.4672682356049953,0.026645173613497164,0.0,-0.018519556012087324,0.018895215617839044,0.49551415204155297,24,0,False
0.01,0.1,IS,0.25727279774395917,0.0350735791025103,-0.0018362760072830886,-0.10966452366839574,0.05246533823985263,0.8462566395143508,222,0,False
0.01,0.1,OOS,0.3141757724105765,0.035499934120054366,0.001483054058022626,-0.06316597343022212,0.05563132913155704,0.5907231835671327,66,0,False
0.015,0.15,IS,0.3812558297603713,0.08227115020020603,0.0037014695529835606,-0.178035879081049,0.10711451234516824,1.190205315086066,457,0,False
0.015,0.15,OOS,0.05896380227002685,0.006379734625530542,-0.0010459024639611902,-0.07921280290877553,0.10557137584037456,0.8062569571221255,152,0,False
0.02,0.2,IS,0.3365657517043011,0.08617064446551015,0.007100894217133447,-0.20382595790762736,0.15298358823834368,1.6622691536091203,613,0,False
0.02,0.2,OOS,0.11331364576291358,0.019599656864463633,0.00566090638399519,-0.11810517543056465,0.16229473090099958,0.9246813592839733,221,0,False
0.03,0.3,IS,0.22181692365246933,0.06266746834439751,0.008491930776522216,-0.3231635953883044,0.22136243307750392,2.3633050431069913,868,0,False
0.03,0.3,OOS,0.09409737632436191,0.017246048438800177,0.009842159063403688,-0.16165655436390947,0.23905297569112663,1.302011081192615,312,0,False
