symbol,direction,entry_ts,exit_ts,entry_price,exit_price,qty,gross_pnl,fees,funding,net_pnl,r_multiple,exit_reason,bars_held,is_cascade
BTC-USDT-SWAP,-1,2025-01-01 00:15:00+00:00,2025-01-02 01:00:00+00:00,93768.25878272425,95546.19703627794,62.92341943154235,-976.2173504024881,89.73761848025914,-16.958357406694837,-1048.9966114760525,-1.0490530350337346,stop,99,False
BTC-USDT-SWAP,-1,2025-01-03 01:15:00+00:00,2025-01-03 16:15:00+00:00,96746.0,98396.3043369085,18.73679602684586,-306.35348891626575,12.842147223350741,-2.7509005717074917,-316.444735567909,-1.0390845596061682,stop,60,False
ETH-USDT-SWAP,1,2025-01-04 00:30:00+00:00,2025-01-05 00:30:00+00:00,3616.935431705308,3658.854809054216,75.61034626608414,316.94535252947577,19.4481446958111,8.181918181451655,289.31528965221304,0.6020718944415612,signal,96,False
BTC-USDT-SWAP,-1,2025-01-05 00:45:00+00:00,2025-01-06 02:00:00+00:00,98281.52416135064,99335.08033217688,29.917287929180745,-316.0246569042189,20.88529495839531,-7.6455462407259045,-329.26440562188833,-1.1473564851175222,stop,101,False
SOL-USDT-SWAP,1,2025-01-01 00:15:00+00:00,2025-01-07 00:30:00+00:00,210.1007044370504,218.55887809248455,197.21953986380683,2152.958357144493,79.7373900637132,4.356578294359629,2068.8643887864205,2.1054044695186587,signal,577,False
BTC-USDT-SWAP,1,2025-01-07 00:30:00+00:00,2025-01-07 11:30:00+00:00,102302.40281491392,100873.84533638111,87.69973536705506,-1251.4950739908413,62.3465690762076,7.929679417757578,-1321.7713224848064,-1.3134076593574673,stop,44,False
SOL-USDT-SWAP,1,2025-01-08 00:30:00+00:00,2025-01-08 03:45:00+00:00,202.4968350138725,197.13383639853538,172.52234477262286,-925.2370961302895,23.99204160187462,0.0,-949.2291377321641,-1.056757462361949,stop,13,False
SOL-USDT-SWAP,1,2025-01-09 04:00:00+00:00,2025-01-09 13:30:00+00:00,193.2803567548859,187.7142560970085,244.91046683099788,-1339.9942301437375,37.57681112516523,3.7577731534199215,-1381.3288144223227,-1.398582531348966,stop,38,False
SOL-USDT-SWAP,-1,2025-01-10 00:30:00+00:00,2025-01-10 07:30:00+00:00,189.65894570679433,193.17756158169914,604.5942535344669,-2253.5321315446313,95.57852627344278,0.0,-2349.1106578180743,-2.403131758757572,stop,28,False
ETH-USDT-SWAP,-1,2025-01-07 00:45:00+00:00,2025-01-11 00:30:00+00:00,3339.3919115416643,3268.7647791541463,84.20532179853743,2107.206535623626,33.316065904191746,-10.828335646473194,2084.7188053659074,3.6824542440767276,signal,383,False
SOL-USDT-SWAP,-1,2025-01-11 07:45:00+00:00,2025-01-11 21:45:00+00:00,188.27071839447376,192.03859398798045,449.8541819532789,-1719.4915906265812,100.64293628320243,2.832491745454969,-1822.9670186552387,-1.9174449956772692,stop,56,False
SOL-USDT-SWAP,-1,2025-01-12 22:15:00+00:00,2025-01-13 00:30:00+00:00,187.71399850575224,190.85882933590477,295.9060049900306,-922.6720591512017,43.65683018767176,-5.641152079129944,-960.6877372597435,-1.0379005105858998,signal,9,False
BTC-USDT-SWAP,1,2025-01-11 00:30:00+00:00,2025-01-13 10:15:00+00:00,94140.79751747516,92265.25989875151,72.2210450851584,-1119.2713850834452,180.23386754569822,15.25941663378056,-1314.764669262924,-1.358903261298209,stop,231,False
ETH-USDT-SWAP,-1,2025-01-13 00:45:00+00:00,2025-01-15 00:30:00+00:00,3207.1038106665533,3237.932480194415,158.51669625912635,1100.0737344161325,72.42956798362832,-5.78008097334507,1033.4242474058494,1.096953978670497,signal,191,False
SOL-USDT-SWAP,-1,2025-01-15 00:45:00+00:00,2025-01-15 13:30:00+00:00,188.55606002216334,193.04579010719382,346.2183867457752,-646.3340192252044,83.18671929516049,3.070775740847224,-732.5915142612122,-0.7960665908154253,stop,51,False
ETH-USDT-SWAP,1,2025-01-16 00:30:00+00:00,2025-01-16 08:30:00+00:00,3416.74029600237,3336.093079163677,137.3315366694786,-1114.592326846122,34.13960707533077,3.770250801561267,-1152.5021847230141,-1.2264826501340695,stop,32,False
ETH-USDT-SWAP,-1,2025-01-17 00:30:00+00:00,2025-01-17 08:45:00+00:00,3331.4117100385242,3404.2400180292557,177.52754345294312,-1305.8589350396428,43.85066960195711,-6.002800243980511,-1343.7068043976194,-1.445165554124521,stop,33,False
BTC-USDT-SWAP,1,2025-01-14 10:30:00+00:00,2025-01-19 00:30:00+00:00,102440.4595644096,104270.19876645363,51.06320039256317,2012.5187134926882,115.9575955866833,18.980779131356655,1877.5803387746482,2.279275133727062,signal,440,False
ETH-USDT-SWAP,-1,2025-01-19 00:45:00+00:00,2025-01-19 15:00:00+00:00,3338.679039990447,3416.614906518205,186.71362075772706,-638.3520357785702,96.96149519645515,-2.2440630063839015,-733.0694679686414,-0.773906773967891,stop,57,False
